blocktime,open,high,low,close,volume
03/30/2025 09:05:16,419.44405654549564,419.44405654549564,419.44405654549564,419.44405654549564,391666720.0
03/30/2025 09:05:12,420.74560961116435,420.74560961116435,420.74560961116435,420.74560961116435,747931280.0
03/30/2025 09:05:19,418.58345486524854,418.58345486524854,418.58345486524854,418.58345486524854,362661350.0
03/30/2025 09:05:22,416.9985514461304,417.5621166456224,416.9985514461304,417.5621166456224,500112670.0
03/30/2025 09:05:21,418.28182688608024,418.28182688608024,417.26940823247435,417.26940823247435,959222840.0
03/30/2025 09:05:37,416.48258035986294,416.48258035986294,416.48258035986294,416.48258035986294,20073250.0
03/30/2025 09:05:40,427.8328385390589,427.8328385390589,427.8328385390589,427.8328385390589,9998888650.0
03/30/2025 09:05:41,437.54582035944674,437.54582035944674,437.54582035944674,437.54582035944674,1686505320.0
03/30/2025 09:05:53,436.5253801323447,436.6447334380311,415.6092862597743,415.6092862597743,1516198720.0
03/30/2025 09:04:35,521.9844856132577,521.9844856132577,521.9844856132577,521.9844856132577,236563510.0
03/30/2025 09:05:56,431.8981504257651,431.8981504257651,431.8981504257651,431.8981504257651,3372360320.0
03/30/2025 09:05:34,0.719738786795752,0.719738786795752,0.719738786795752,0.719738786795752,800010.0
03/30/2025 09:06:52,410.44806208994964,410.44806208994964,410.44806208994964,410.44806208994964,809790460.0
03/30/2025 09:06:43,419.42012728070165,419.42012728070165,419.42012728070165,419.42012728070165,7126907640.0
03/30/2025 09:06:28,427.82197662039044,427.82197662039044,427.82197662039044,427.82197662039044,162614690.0
03/30/2025 09:06:58,408.9531813793882,408.9531813793882,408.9531813793882,408.9531813793882,409108630.0
03/30/2025 09:06:55,409.4745573042303,409.4745573042303,409.4745573042303,409.4745573042303,53246700.0
03/30/2025 09:07:02,400.3199647495271,400.3199647495271,392.185274754972,392.185274754972,7368613820.0
03/30/2025 09:07:12,382.20157317517317,382.20157317517317,382.20157317517317,382.20157317517317,8932439560.0
03/30/2025 09:07:18,370.0513166222064,370.0513166222064,370.0513166222064,370.0513166222064,1360353270.0
03/30/2025 09:07:13,372.8024252404421,372.8024252404421,372.8024252404421,372.8024252404421,196039600.0
03/30/2025 09:07:20,368.33297212091725,368.33297212091725,368.33297212091725,368.33297212091725,245451050.0
03/30/2025 09:07:40,363.33356534790835,363.33356534790835,363.33356534790835,363.33356534790835,2762882300.0
03/30/2025 09:07:17,372.2623448833201,372.2623448833201,372.2623448833201,372.2623448833201,697753430.0
03/30/2025 09:08:08,2.2812460536091006,2.2812460536091006,2.2812460536091006,2.2812460536091006,20392800.0
03/30/2025 09:07:39,367.1745473823598,367.1745473823598,367.1745473823598,367.1745473823598,837892760.0
03/30/2025 09:07:45,359.96857393208865,359.96857393208865,359.96857393208865,359.96857393208865,417255110.0
03/30/2025 09:08:19,353.6864293095101,353.6864293095101,353.6864293095101,353.6864293095101,220634480.0
03/30/2025 09:08:10,353.85691381183574,353.85691381183574,353.85691381183574,353.85691381183574,981342720.0
03/30/2025 09:08:24,353.3775547276977,353.3775547276977,353.3775547276977,353.3775547276977,74105680.0
03/30/2025 09:08:30,353.28061742380305,353.28061742380305,353.28061742380305,353.28061742380305,18311870.0
03/30/2025 09:09:03,353.24598000075105,353.24598000075105,353.24598000075105,353.24598000075105,14761230.0
03/30/2025 09:09:59,349.5400778723972,349.5400778723972,349.5400778723972,349.5400778723972,555490570.0
03/30/2025 09:10:13,347.95778892112713,347.95778892112713,346.90292166452883,346.90292166452883,1016011109.9999999
03/30/2025 09:10:23,346.6681675084836,346.6681675084836,346.6681675084836,346.6681675084836,174403599.99999997
03/30/2025 09:10:43,349.53805872859243,349.53805872859243,349.53805872859243,349.53805872859243,2940594050.0
03/30/2025 09:11:01,353.0177782040136,353.0177782040136,353.0177782040136,353.0177782040136,294059400.0
